id,name,composer_id
596,Michelle Ekizian,378
597,Helene Liebmann,379
598,Erika Fox,380
599,Grace-Evangeline Mason,381
600,Daphne Oram,382
601,Marina Scriabina,383
602,Margaret Essex,384
603,Elisabetha Nina Mary Frederica Lehmann,385
604,Liza Lehmann,385
605,Liza Lehmann,385
606,Biancamaria Furgeri,386
607,Biancamaria Fugeri,386
608,Biancamaria Fugeri,386
609,Teresa Clotilde del Riego,387
610,Hazel Volkart,388
611,Wang Jie,389
612,Gisèle Barreau,390
613,Regina Watson,391
614,Elena Stanekaite-Laumyanskene,392
615,Elena Laumenskienė,392
616,Elena Laumenskienė,392
617,Francesca Caccini,393
618,Francesca Raffaelli,393
619,Francesca Raffaelli,393
620,Ivy Priaulx Rainier,394
621,Priaulx Rainier,394
622,Priaulx Rainier,394
623,Monic Cecconi-Botella,395
624,Maria Chefaliady-Taban,396
625,Madeleine Dring,397
626,Zhanneta Lazarevna Metallidi,398
627,Celeste Jaguaribe de Matos Faria,399
628,Celeste Jaguaribe de Matos Celeste,399
629,Celeste Jaguaribe de Matos Celeste,399
630,Lyudmila Karpawna Shleh,400
631,Nina C. Young,401
632,Jenny Helen McLeod,402
633,Anne Madeleine Guédon de Presles,403
634,Mlle Guédon de Presles,403
635,Mlle Guédon de Presles,403
636,E. Anne Schwerdtfeger,404
637,Juliane Reichardt,405
638,Juliane Benda,405
639,Juliane Benda,405
640,Dorothea Jordan,406
641,Dorothea Bland,406
642,Mrs. Jordan,406
643,Dorothea Bland,406
644,Mrs. Jordan,406
645,Marielli Sfakianaki,407
646,Anna Clyne,408
647,Charlotte Tardieu,409
648,Olga Neuwirth,410
649,Julia Tsenova,411
650,Julia Cenova,411
651,Charlotte Ruegger,412
652,Dagmara Slianova-Mizandari,413
653,Awilda Villarini,414
654,Irina Hasnaş,415
655,Camilla de Rossi,416
656,Pauline Viardot,417
657,Pauline García,417
658,Pauline Garcia,417
659,Mme Viardot,417
660,Michelle Ferdinande Pauline García Sitches,417
661,Pauline García,417
662,Pauline Garcia,417
663,Mme Viardot,417
664,Verdi Karns,418
665,Verdi Karns Sturgis,418
